"Protein","estimate","std_error","statistic","pvalue","Padj","mean_diabetes_nonDN","mean_diabetes_DN"
"IGSF3",0.132066073650766,0.0372863187179231,3.54194455746265,0.000415971502820821,0.00646652660708124,0.349245561357702,0.475500934579439
"RNASE4",0.0879673927354192,0.0248165920884002,3.54470075593244,0.000416053046588389,0.00646652660708124,0.0795929936305732,0.167436470588235
"ALCAM",0.0614860668883791,0.0173698624410016,3.5398131158046,0.000418749076587101,0.00647399366025137,0.00788007566204287,0.0819951388888889
"FOLR2",0.0929403390937401,0.0263471190544239,3.5275332723004,0.000438563960504015,0.00670933975179441,0.026460941475827,0.128928372093023
"IMMT",0.151540594990117,0.0429257825225414,3.53029312652692,0.000438009409956481,0.00670933975179441,0.178344367283951,0.323166576086957
"CHGA",0.300693394845259,0.0852957997584989,3.525301312569,0.000446051864623315,0.00677755516499707,0.073906697108067,0.376553038674033
"IL12A_IL12B",0.255200533697691,0.0724532355877484,3.52227932441495,0.000447661925682558,0.00677755516499707,0.153660313315927,0.425300934579439
"APCS",0.10447073188117,0.0296590324470988,3.52239177281015,0.000451132245553442,0.00679488877065544,0.0738455950540958,0.168162295081967
"FGF23",0.158030400005954,0.0449624666625764,3.51471820244877,0.000460024937938823,0.00689329676234483,0.154948081841432,0.333722706422018
"CCL21",0.147910094506023,0.0421726520662503,3.50725143568555,0.00047302747221317,0.00705197078472899,0.115619808917197,0.26583820754717
"CCL19",0.392290002164469,0.111965029981315,3.50368326815914,0.000479248194477711,0.00707254153668622,0.480010941475827,0.883041395348837
"CRELD1",0.126317075660361,0.0360121974353193,3.50761921394094,0.000477034712189544,0.00707254153668622,0.173185275590551,0.29571592178771
"PGLYRP1",0.132265268448398,0.0377831923148582,3.50063772659,0.000484606903271165,0.00710378626156056,0.0382623574144487,0.163889351851852
"TNFRSF9",0.134091517659614,0.0383121685012724,3.49997201685832,0.000486227670195795,0.00710378626156056,0.0916365806451613,0.219165952380952
"SFRP1",0.123972809514195,0.0354660375876134,3.49553595345799,0.000494323974129178,0.00718614254928089,0.0733376455368693,0.19811619047619
"IL12RB1",0.110719619557056,0.0317353864348882,3.48883791865023,0.000506854507855137,0.0073318260987758,0.0443226267880364,0.147956730769231
